"name","brand","model","resistance","capacitance","inductance"
"3-Star 2x1.5mm²","Adam Hall","K3LS215","13.0","120","0.70"
"3-Star 2x2.5mm²","Adam Hall","K3LS225","7.8","110","0.65"
"3-Star 4x2.5mm²","Adam Hall","K3LS425","7.8","110","0.65"
"4-Star 2x2.5mm²","Adam Hall","K4LS225","7.5","105","0.60"
"4-Star 2x4.0mm²","Adam Hall","K4LS240","4.5","100","0.55"
"4-Star 4x2.5mm²","Adam Hall","K4LS425","7.5","105","0.60"
"4-Star 4x4.0mm²","Adam Hall","K4LS440","4.5","100","0.55"
"Hi-Fi Star Quad","AudioQuest","Type 4","8.3","150","0.35"
"Install 14AWG","AudioQuest","SliP 14/2","8.3","90","0.65"
"Install 14AWG 4-Core","AudioQuest","SliP 14/4","8.3","90","0.65"
"Install 16AWG","AudioQuest","SliP 16/2","13.2","95","0.70"
"Commercial 12AWG","Belden","5000UE","5.12","105","0.59"
"Commercial 14AWG","Belden","5100UE","8.3","95","0.62"
"Commercial 16AWG","Belden","5200UE","13.78","90","0.66"
"Ultra High Strand 10AWG","Belden","5T00UP","3.28","110","0.52"
"Ultra High Strand 12AWG","Belden","5000UP","5.25","105","0.59"
"Ultra High Strand 12AWG 4-Core","Belden","5002UP","5.25","105","0.59"
"Ultra High Strand 14AWG","Belden","5100UP","8.53","95","0.62"
"Ultra High Strand 14AWG 4-Core","Belden","5102UP","8.53","95","0.62"
"Ultra High Strand 16AWG","Belden","5200UP","13.78","90","0.66"
"Ultra High Strand 16AWG 4-Core","Belden","5202UP","13.78","90","0.66"
"Install 2x1.3mm² (16AWG)","Canare","2S7F","15.3","60","0.70"
"Install 2x2.2mm² (14AWG)","Canare","2S9F","8.8","70","0.65"
"Install 2x3.6mm² (12AWG)","Canare","2S11F","5.5","85","0.60"
"Install Quad 1.8mm² x4","Canare","4S10F","10.7","150","0.35"
"Install Quad 2.8mm² x4","Canare","4S12F","6.9","150","0.35"
"Star Quad (Pair) 1.0mm² eq","Canare","4S6","18.7","125","0.40"
"Star Quad (Pair) 2.5mm² eq","Canare","4S8","7.5","145","0.38"
"Star Quad (Pair) 4.3mm² eq","Canare","4S11","4.5","145","0.35"
"CLS 2x1.5mm²","Cordial","CLS 215","13.3","105","0.68"
"CLS 2x2.5mm²","Cordial","CLS 225","7.98","100","0.62"
"CLS 2x4.0mm²","Cordial","CLS 240","4.95","95","0.55"
