"model","brand","impedance","z_min","wattage_rms","wattage_peak","max_spl","taps","type","category"
"ALTI4","Audac","16","12.8","30.0","60","100","24,12,6,3","Both","small_fullrange"
"ALTI4M","Audac","16","12.8","30.0","60","95","24,12,6","Both","small_fullrange"
"ALTI6","Audac","16","12.8","60.0","120","101","60,30,15","Both","small_fullrange"
"ALTI6M","Audac","16","12.8","60.0","120","101","60,30,15","Both","small_fullrange"
"ARES5A","Audac","","","40.0","80","105","","Active","small_fullrange"
"ASP20","Audac","8","6.4","20.0","40","103","20,10,5,2.5","Both","small_fullrange"
"ATEO2","Audac","8","6.4","10.0","20","93","","Lo-Z","small_fullrange"
"ATEO4","Audac","8","6.4","35.0","70","100","24,12,6,3","Both","small_fullrange"
"ATEO4D","Audac","16","12.8","35.0","70","100","24,12,6,3","Both","small_fullrange"
"ATEO6","Audac","8","6.4","60.0","120","106","50,25,12.5,6.25","Both","small_fullrange"
"ATEO6D","Audac","16","12.8","60.0","120","106","50,25,12.5,6.25","Both","small_fullrange"
"BASO10","Audac","8","6.4","225.0","450","120","","Lo-Z","subwoofer"
"BASO12","Audac","8","6.4","500.0","1000","125","","Lo-Z","subwoofer"
"BASO15","Audac","8","6.4","700.0","1400","127","","Lo-Z","subwoofer"
"BASSO112","Audac","8","6.4","1000.0","4000","124","","Lo-Z","subwoofer"
"CALI424","Audac","8","6.4","30.0","60","100","24,12,6","Both","small_fullrange"
"CALI660","Audac","8","6.4","60.0","120","106","60,30,15","Both","small_fullrange"
"CELO2","Audac","8","6.4","10.0","20","93","","Lo-Z","small_fullrange"
"CELO5","Audac","8","6.4","50.0","100","102","","Lo-Z","small_fullrange"
"CELO6","Audac","8","6.4","60.0","120","106","","Lo-Z","small_fullrange"
"CELO8","Audac","8","6.4","80.0","160","108","","Lo-Z","small_fullrange"
"CELO8S","Audac","8","6.4","50.0","100","108","","Lo-Z","small_fullrange"
"CENA5","Audac","8","6.4","10.0","20","103","6,3","Both","small_fullrange"
"CENA7","Audac","8","6.4","10.0","20","106","6,3","Both","small_fullrange"
"CENA8","Audac","8","6.4","20.0","40","112","12,6","Both","small_fullrange"
"CHA215","Audac","20","16.0","15.0","25","107","15,7.5,3.75,1.9","Both","small_fullrange"
"CHA530","Audac","8","6.4","30.0","60","113","30,15,7.5,3.75","Both","small_fullrange"
"CHA660","Audac","8","6.4","60.0","120","116","60,30,15,7.5","Both","small_fullrange"
"CIRA5","Audac","8","6.4","30.0","60","103","24,12,6","Both","small_fullrange"
"CIRA7","Audac","8","6.4","30.0","60","103","24,12,6","Both","small_fullrange"
"CIRA8","Audac","8","6.4","40.0","80","105","40,20,10","Both","small_fullrange"
"CS1000S","Audac","8","6.4","100.0","200","108","","Lo-Z","small_fullrange"
"HS208","Audac","8","6.4","150.0","600","123","","Lo-Z","small_fullrange"
"HS208T","Audac","8","6.4","150.0","600","123","120,60,30","Both","small_fullrange"
"HS212","Audac","8","6.4","350.0","700","125","","Lo-Z","large_fullrange"
"HS212T","Audac","8","6.4","350.0","700","125","240,120,60","Both","large_fullrange"
